run         lumi          event
166864       183      193074706
166699       256      266937709
166699       877      921906666
166699       907      951351202
165993       508      577662703
165993       519      590533288
165415      1015     1192162980
165415      1019     1196944615
165415      1035     1216809559
166034         1          13141
166034        18       17694261
166034        19       18861780
166034        22       21180058
166034        24       23500724
166034        25       25389245
166034        59       62387250
165570       846     1127636431
165570       846     1127784792
165570       889     1189364943
167675       543      583898750
167675       565      607078610
167675       581      623607890
167675       588      630884618
167675       597      640323647
167675       602      646248616
167675       604      647716048
166763       105       94894136
166763       106       95343675
166763       109       99621767
166763       143      141744328
166763       164      167882208
166408       499      637259604
166408       512      653617334
166408       608      774248107
166408       618      787212840
166408       649      824842929
166408       654      831000505
166408       655      832981603
165570       249      333587395
165570       505      670552381
165570       520      689747451
165570       522      691462758
165570       538      711687766
165570       552      730325672
165570       558      736997603
167281       465      571020429
167281       484      592333537
167281       488      596304929
166565       110      102297180
166565       130      121693561
166565       159      149245381
166701       718      644260877
166701       753      672882435
166888       266      305996907
166888       288      334847758
166888       294      342836006
166888       300      351191641
165620        15       14121039
166782       303      334306082
166782       323      355382762
166782       323      355876342
166894         3         749075
166894        22       19091993
166894        24       20991544
166894        33       30359995
167898       556      670347850
167898       569      686652029
167898       570      687298913
167898       573      691648968
167898       583      704014359
166408       569      724423684
166408       571      726940755
166408       580      739393080
166408       595      758407148
167675       922      968356645
167675       937      983232584
167675       940      986123196
167675       945      990973555
167675       962     1007276787
167675       996     1040231323
166033       648      897404033
166033       660      913051107
166033       670      926275501
166033       671      927436801
166033       673      929632938
166033       676      933325981
166033       697      960762005
165514       184      229023530
165514       188      236038123
165514       190      238811004
165514       207      262850180
166512       198      231310979
166512       204      239329311
166512       211      248382957
166512       221      261684778
166512       266      318829201
166512       267      319636353
166512       508      616376480
166512       638      769011777
166512       666      801337381
166512       667      802316642
166438       731      823812384
166763       469      525618021
166763       527      590376705
166554       118      121667874
166554       136      145709374
166554       142      154213324
166554       147      160829352
166554       157      174319817
166922       444      580071398
166922       457      595522253
166049       198      254516249
166049       210      272750074
166922       171      229740836
166922       189      253541288
166922       189      253975126
166922       203      272556915
166923       379      408258510
166923       402      432445175
166923       413      444168352
166923       424      454905278
166923       451      482234815
167102        31       30141606
167102        41       40914772
167102        41       40504425
165993       766      859415014
165993       853      951045495
165993       859      957275994
165993       862      960782494
165993       867      965827159
165993       872      970953918
165993       880      979464475
165993       883      982595529
167807      1732     2039516629
167807      1736     2043176815
167807      1736     2043821368
167807      1739     2046402078
167807      1746     2053451887
167807      1746     2053487404
167807      1759     2066047608
167807      1765     2072405911
166922       505      654490853
166922       576      740262837
166922       579      743443246
166922       587      753225062
166922       604      772987961
166922       619      790527305
165993       202      216925749
165993       221      240074244
165993       233      254738681
165570       384      514015506
165570       718      939621263
165570       775     1025110102
166839        51       39544802
166839        59       49736753
166839        69       62226823
166839        70       64027819
166839        80       76868636
166839        84       81761462
167830       498      507273107
167830       503      512020260
167830       635      650876186
167830       653      670226444
167830       662      679943807
167830       664      682132292
167830       688      707470295
167807       716      925314750
167807       721      931315844
166781       229      269602053
166781       258      305613698
166781       253      299979819
166502        56       38458643
166502        57       40347461
166502        72       60206843
166502        75       64726776
166502        94       88893700
165570       595      782272875
165570       605      794643843
165570       615      807777207
166033       915     1231954289
166033       920     1238164243
166033       944     1267518446
166033       949     1273782598
165514       401      545159584
165514       401      544990756
166512      1157     1327413424
166512      1165     1334896814
166512      1172     1341891578
166512      1187     1357438779
166512      1188     1358653930
166512      1202     1372351779
166841       476      515890538
166841       495      535935639
166841       497      537934942
166841       497      537650291
166841       502      542865610
166841       507      548848230
167807      1234     1523379744
167807      1290     1583895856
167807      1293     1586911696
167807      1305     1600195984
167807      1309     1604361403
167807      1315     1610865119
167807      1319     1615113670
167807      1321     1616971692
167807      1342     1638596655
167284       687      593390073
167284       688      593751976
167284       733      630633693
167284       740      636345412
167284       744      639217844
167284       792      677961878
167284       794      679206031
167898      1025     1227217622
167898      1099     1305281673
167898      1102     1308451569
167913        33       33886677
167913        35       36755709
167913        57       61151795
167913        65       69354863
167913        81       86852677
165570       344      461025390
165570       345      462438076
167807      1559     1864662837
167807      1573     1878955904
167807      1575     1880548223
167807      1581     1887613586
167807      1597     1903040026
167807      1597     1903726586
167807      1611     1917946533
167807      1614     1920773715
166514       202      174250538
166514       206      177712540
166514       209      180254794
166514       216      185988068
166514       219      188272687
166514       223      192107543
166514       231      199203169
166514       235      201981016
165567        96      100016646
165567       100      106459532
165567       108      117056070
165567       116      121830346
165567       129      139421117
165567       136      148884039
165567       148      166194202
165567       148      165391451
166408       136      145359009
166408       154      169833823
165548         5        4419649
165548        15       18636140
165548        50       67285007
165548        65       88618143
165993       815      912070544
165993       818      914244738
165993       823      919891457
165993       829      925895868
165993       844      941499471
166888       372      445341505
166888       380      455226451
166888       457      547385014
166888       461      552738240
166888       393      471259265
166888       400      476103650
166888       466      558213643
166888       468      561675752
165415      1153     1364299874
165415      1164     1377450647
165415      1181     1397867852
165415      1208     1431472411
165415      1210     1433614513
165415      1219     1444510899
166554       654      778425283
166554       654      778593714
166554       663      788971674
166554       666      792142527
166554       674      800773747
166554       685      813830244
166554       698      828019528
166033      1047     1388705844
166033      1058     1401538039
166512       451      548419637
166512       461      560729800
166512       464      564649800
166512       469      570143768
166512       472      573558100
166512       491      596779455
166512       503      610652022
167675      1000     1044360363
167675      1004     1047714027
167675      1005     1048596146
167675      1024     1067045101
167675      1025     1068066417
167675      1042     1084258288
167675      1055     1096046132
167675      1062     1102972675
166782        75       82866494
166782        87       97125181
166782        94      104675208
166782       134      150287723
166950      1025     1155848145
166950      1036     1167087546
166950      1043     1173915686
166950      1060     1191164445
166950      1069     1199672478
166950      1073     1203998494
166950      1081     1211566581
166950      1091     1221981877
166950      1101     1231468085
166514         4        1494235
166514         8        4719660
166514        10        6378570
166514        43       35807374
166514        48       39959615
166514        73       62540782
166514        83       71355257
166514        85       72612622
165364       430      536829563
165364       442      550943311
165364       458      570590655
165364       461      574911336
165364       490      609489805
167807       792     1018992532
167807       840     1076428589
166380      1479     1552970842
166380      1498     1570830562
166380      1503     1575378306
166380      1517     1588431820
166380      1518     1589570649
166380      1523     1593569515
166512       726      868420875
166512       777      925454946
166512       783      932867244
166512       784      933896005
166512       784      933164416
166512       794      945007161
166512       821      974348583
166512       144      159871168
166512       148      164882929
166512       164      186156382
166512       170      195228365
166512       170      194564359
166512       182      210440216
166512       189      219174311
166787        87       79006830
166787        90       82232845
166787        92       84215223
166787        94       86079772
166787       135      123280102
166787       136      124522034
166787       151      138687348
166787       154      141186717
166787       169      154481257
166787       174      159648058
166787       176      161126180
166967       206      174514601
166967       170      144493997
166967       171      145308020
166967       214      181329262
166512       931     1092908072
166512       932     1093567801
166512       966     1129418746
166512       983     1147845843
166512       996     1161040343
166512      1002     1167437467
166841       883      924962224
166841       888      929081633
166841       890      930856387
166841       971     1007317397
166841       972     1008392287
166841      1004     1035277084
167807       628      814052173
167807       630      817716053
167807       683      884181501
167807       688      889895514
167807       691      894572481
167807       695      898903349
166512       765      912776852
166512       885     1044053413
166512       897     1056498583
166512       904     1063420477
166512       908     1068739501
166512       912     1072696267
166512       920     1080918255
166512       928     1090045597
166486        54       20163612
166486        74       43247015
166486        87       58379365
166486        93       65671023
166486        99       70259807
165514        86       79478078
165514        92       88884850
165514        93       89149500
165514        95       93254954
165514        96       94926867
165514       100      101249304
165364        48       45512676
165364        50       47879702
165364        76       82960419
165364        88       99406685
166763       113      104169198
166763       292      322741301
166763       313      347509858
166763       329      366094579
166841       133      146053489
166841       156      170817551
166841       188      205880095
166841       194      211911330
166966       104       89461504
166966       106       91673365
166966       107       92516738
166966       108       93107679
166966       116      100062659
166966       143      124153150
166966       157      136906613
166842        44       39434763
166842        45       40297479
166842        69       63518083
167284      1273     1089671469
167284      1325     1133232992
167284      1325     1133533981
167284      1356     1159192254
167284      1359     1161870707
167284      1374     1173987901
166512       744      888813145
166512       753      899511552
166512       834      988299628
166512       845      999969013
166512       855     1011692053
166512       855     1011488293
165472       642      745080182
165472       642      746013672
165472       665      775459397
165472       676      789922341
165472       677      790411344
166923       249      272206250
166923       331      359052954
166923       334      362157040
166923       337      365395999
166923       369      398157566
165467       403      515399372
165467       404      516390377
165467       411      525794885
165467       418      534754249
165467       453      580880012
165514       248      322804118
166841       346      374473900
166841       359      388213545
166841       359      388074152
166841       377      408172483
166922       384      505795185
166922       405      531029557
166922       425      556104954
166922       433      566159625
167830       848      873966444
167830       853      878825607
167830       892      918780301
166787       124      113787700
166787       180      164827311
166787       184      168848221
166787       193      176963213
166787       204      186844192
166787       231      211377216
166787       250      228229676
167041       340      378602408
167041       341      379283598
167041       363      402725843
167041       366      405839205
167041       370      410348689
167041       387      428024830
166462       152      139161409
166462       155      142069399
165548       379      511909332
165548       420      565594940
165548       438      588325035
165548       443      594810891
165548       446      598365445
165548       446      598369535
166512      1236     1406633802
167039       114      144333912
167039       118      149843978
167039       199      250067802
167039       203      255278812
167039       205      257309155
167039       212      266940886
166408       519      662452967
166408       530      677107902
166408       534      681540575
166408       543      693319091
166408       559      712327603
165548       473      633111762
165548       496      663472750
165548       501      669988054
165548       522      695693082
165548       546      727372580
165548       547      728614079
166699       178      174497499
166699       199      199863279
166699       200      201000968
166563        31       31179588
166563        44       45746031
167675       244      268091806
167675       302      330596785
167675       309      337819757
167675       315      344991592
